,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
0,"San Francisco, CA",Macy's,0af2239cd618e17c,Data Scientist (macys.com),,43.2,14170,2 days,2016-10-15 18:28:58.188133
1,"San Francisco, CA",Hoodline,dd86068e34d0f55a,Machine Learning Data Scientist,,,,2 days,2016-10-15 18:28:58.188133
2,"San Francisco, CA 94107 (South Of Market area)",Ubisoft,30768ffa71fdfbc4,"Data Scientist, Marketing Analytics",,51.0,68,2 days,2016-10-15 18:28:58.188133
3,"San Francisco, CA 94107 (South Of Market area)",Doximity,788fdeb8484613ca,Data Scientist - Growth,,,,4 days,2016-10-15 18:28:58.188133
4,"San Francisco, CA",Stitch Fix,0aab0ad01a77733a,Data Scientist,,40.8,34,2 days,2016-10-15 18:28:58.188133
5,"San Francisco, CA 94114 (Castro-Upper Market area)",Apple,b1c75056addc71fd,"Software Engineer, Data Scientist",,52.800003,2567,2 days,2016-10-15 18:28:58.188133
6,"San Francisco, CA",Twitch,85e94cc9adaabf4d,Data Scientist,,55.800003,4,2 days,2016-10-15 18:28:58.188133
7,"San Francisco, CA",Collective Health,632abb6406e661e9,Data Scientist,,,,3 days,2016-10-15 18:28:58.188133
8,"San Francisco, CA",Autodesk,84871d782e858e82,Intern Data Scientist for Product Analytics,,52.199997,147,3 days,2016-10-15 18:28:58.188133
9,"San Francisco, CA 94103 (South Of Market area)",Yelp,0831dc37aed855a5,Data Scientist,,43.8,120,14 days,2016-10-15 18:28:58.188133
